,mean_abs_shap
PDC_30,0.36920297
PDC30_CAT,0.19166076
EGEOLOC,0.18757658
INITIAL_DAYSUPP,0.18696888
EMPREL,0.14806885
AGE_GROUP,0.118679896
OUTPATIENT_VISIT_COUNT,0.03993174
INITIAL_DOSE_GROUP,0.038831245
OPIOID_ANALGESICS,0.03814977
OUD_OFFSET_DAYS,0.033714477
OUD_SECONDARY,0.030099096
PLANTYP,0.023702804
SEX,0.021707555
FACILITY_VISIT_COUNT,0.02063305
CHARLSON_INDEX,0.019816604
INPATIENT_VISIT_COUNT,0.019549957
REGION,0.012079968
ALCOHOL_USE_DISORDER,0.010965345
CHRONIC_PAIN_PRIMARY,0.010633672
OUD_MODSEV_SECONDARY,0.0091530075
STIMULANTS,0.008699696
CUD_MODSEV,0.0068173055
ANTIPSYCHOTICS,0.006520174
ALCOHOL_USE_DISORDER_PRIMARY,0.005935536
OUD_MODSEV,0.005448415
HEPATITIS_C_SECONDARY,0.0048518004
OUD_PRIMARY,0.004536156
HEPATITIS_C,0.0031925938
CUD_MODSEV_SECONDARY,0.0023052762
ANXIETY_SECONDARY,0.0022016012
OUD_MODSEV_PRIMARY,0.0
CUD_MILD,0.0
CUD_MILD_PRIMARY,0.0
CUD_MILD_SECONDARY,0.0
CUD_MODSEV_PRIMARY,0.0
OUD_MILD_SECONDARY,0.0
ANTIDEPRESSANTS,0.0
MOOD_STABILIZERS,0.0
BENZODIAZEPINES,0.0
NONBENZODIAZEPINE,0.0
CHRONIC_PAIN,0.0
URBAN_RURAL,0.0
CHRONIC_PAIN_SECONDARY,0.0
HIV_AIDS_PRIMARY,0.0
HIV_AIDS_SECONDARY,0.0
HEPATITIS_C_PRIMARY,0.0
DEPRESSIVE_DISORDER,0.0
DEPRESSIVE_DISORDER_PRIMARY,0.0
DEPRESSIVE_DISORDER_SECONDARY,0.0
ANXIETY,0.0
ANXIETY_PRIMARY,0.0
PTSD,0.0
PTSD_PRIMARY,0.0
PTSD_SECONDARY,0.0
HIV_AIDS,0.0
BIPOLAR_DISORDER_PRIMARY,0.0
BIPOLAR_DISORDER_SECONDARY,0.0
SCHIZOPHRENIA,0.0
SCHIZOPHRENIA_PRIMARY,0.0
SCHIZOPHRENIA_SECONDARY,0.0
NON_OPIOID_SUD,0.0
NON_OPIOID_SUD_PRIMARY,0.0
NON_OPIOID_SUD_SECONDARY,0.0
ALCOHOL_USE_DISORDER_SECONDARY,0.0
OUD_MILD,0.0
OUD_MILD_PRIMARY,0.0
BIPOLAR_DISORDER,0.0
