,mean_abs_shap
EMPREL,0.1809367
EGEOLOC,0.15545507
AGE_GROUP,0.12645018
INPATIENT_VISIT_COUNT,0.06773031
OUD_OFFSET_DAYS,0.047758676
OUTPATIENT_VISIT_COUNT,0.044055205
OUD_SECONDARY,0.040256836
PLANTYP,0.037036598
INITIAL_DOSE_GROUP,0.031713277
OPIOID_ANALGESICS,0.027431501
INITIAL_DAYSUPP,0.023015877
CHARLSON_INDEX,0.02184201
SEX,0.016245678
ANTIDEPRESSANTS,0.015738951
CHRONIC_PAIN_PRIMARY,0.015084946
URBAN_RURAL,0.012405364
FACILITY_VISIT_COUNT,0.011806113
NON_OPIOID_SUD_SECONDARY,0.0102241505
OUD_MODSEV_SECONDARY,0.009796131
NON_OPIOID_SUD,0.009578566
ALCOHOL_USE_DISORDER_SECONDARY,0.0094672935
CUD_MODSEV,0.009300456
OUD_MODSEV_PRIMARY,0.009227026
OUD_MODSEV,0.0089966
REGION,0.008770249
DEPRESSIVE_DISORDER_PRIMARY,0.0082307635
NON_OPIOID_SUD_PRIMARY,0.0065144855
CHRONIC_PAIN_SECONDARY,0.005577341
ANTIPSYCHOTICS,0.0054447767
CUD_MODSEV_SECONDARY,0.004535942
ALCOHOL_USE_DISORDER_PRIMARY,0.00450735
OUD_MILD_SECONDARY,0.004479932
MOOD_STABILIZERS,0.0043118815
ANXIETY,0.003754873
HEPATITIS_C,0.0036149893
ANXIETY_SECONDARY,0.0032472087
PTSD,0.0031090756
OUD_PRIMARY,0.002802209
BIPOLAR_DISORDER_SECONDARY,0.0027831614
CUD_MODSEV_PRIMARY,0.0022116525
CHRONIC_PAIN,0.0017521107
BENZODIAZEPINES,0.0
NONBENZODIAZEPINE,0.0
STIMULANTS,0.0
ALCOHOL_USE_DISORDER,0.0
OUD_MILD,0.0
PTSD_SECONDARY,0.0
BIPOLAR_DISORDER,0.0
BIPOLAR_DISORDER_PRIMARY,0.0
SCHIZOPHRENIA,0.0
SCHIZOPHRENIA_PRIMARY,0.0
SCHIZOPHRENIA_SECONDARY,0.0
OUD_MILD_PRIMARY,0.0
CUD_MILD,0.0
CUD_MILD_PRIMARY,0.0
CUD_MILD_SECONDARY,0.0
DEPRESSIVE_DISORDER,0.0
DEPRESSIVE_DISORDER_SECONDARY,0.0
ANXIETY_PRIMARY,0.0
PTSD_PRIMARY,0.0
HIV_AIDS,0.0
HIV_AIDS_PRIMARY,0.0
HIV_AIDS_SECONDARY,0.0
HEPATITIS_C_PRIMARY,0.0
HEPATITIS_C_SECONDARY,0.0
