,mean_abs_shap
EGEOLOC,0.30737618
PDC_30,0.28640208
AGE_GROUP,0.1438222
EMPREL,0.13859658
INITIAL_DAYSUPP,0.13174379
OUD_OFFSET_DAYS,0.08314729
OUTPATIENT_VISIT_COUNT,0.07876216
PLANTYP,0.06331797
INITIAL_DOSE_GROUP,0.04404984
INPATIENT_VISIT_COUNT,0.037249807
OUD_SECONDARY,0.029241908
ANTIPSYCHOTICS,0.025736798
CHARLSON_INDEX,0.024563283
OPIOID_ANALGESICS,0.022114374
OUD_MODSEV,0.019521011
SEX,0.019307623
NON_OPIOID_SUD_SECONDARY,0.018463334
OUD_PRIMARY,0.018082246
NON_OPIOID_SUD,0.017702378
PDC30_CAT,0.014350657
FACILITY_VISIT_COUNT,0.014053155
OUD_MILD_SECONDARY,0.01387616
ANTIDEPRESSANTS,0.0132445665
CHRONIC_PAIN_SECONDARY,0.013020281
CHRONIC_PAIN,0.012561451
BENZODIAZEPINES,0.01185544
REGION,0.01133127
OUD_MODSEV_PRIMARY,0.011203091
CHRONIC_PAIN_PRIMARY,0.01103526
STIMULANTS,0.010672721
URBAN_RURAL,0.009896863
ANXIETY_SECONDARY,0.009841952
ANXIETY_PRIMARY,0.009711778
ANXIETY,0.009379307
DEPRESSIVE_DISORDER_PRIMARY,0.008941653
DEPRESSIVE_DISORDER_SECONDARY,0.008871652
ALCOHOL_USE_DISORDER_PRIMARY,0.008624557
OUD_MILD,0.008205678
DEPRESSIVE_DISORDER,0.008201105
NON_OPIOID_SUD_PRIMARY,0.0068925996
OUD_MODSEV_SECONDARY,0.0066504697
ALCOHOL_USE_DISORDER,0.005729644
BIPOLAR_DISORDER,0.005288075
ALCOHOL_USE_DISORDER_SECONDARY,0.00497072
NONBENZODIAZEPINE,0.004969085
OUD_MILD_PRIMARY,0.0044559794
HEPATITIS_C_SECONDARY,0.0042064977
HEPATITIS_C,0.0035671205
BIPOLAR_DISORDER_SECONDARY,0.003458162
PTSD,0.0032918153
CUD_MODSEV,0.0032900805
MOOD_STABILIZERS,0.0028760934
BIPOLAR_DISORDER_PRIMARY,0.0026353053
CUD_MILD,0.0021115623
PTSD_SECONDARY,0.0021026877
PTSD_PRIMARY,0.001895367
CUD_MILD_SECONDARY,0.0018038052
CUD_MODSEV_SECONDARY,0.0016495206
HEPATITIS_C_PRIMARY,0.0013663555
CUD_MODSEV_PRIMARY,0.0011631949
HIV_AIDS,0.00095321395
SCHIZOPHRENIA,0.0009151438
CUD_MILD_PRIMARY,0.0007888814
SCHIZOPHRENIA_PRIMARY,0.00065610505
HIV_AIDS_PRIMARY,0.00040112188
SCHIZOPHRENIA_SECONDARY,0.00014734949
HIV_AIDS_SECONDARY,9.3272174e-05
